City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
324,Tura,IN,76.6,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
325,Iquitos,PE,82.44,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
333,Cabadiangan,PH,84.58,broken clouds,9.7531,122.4739,Kipot
334,The Valley,AI,83.82,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
337,Iracoubo,GF,79.36,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
342,Black River,JM,84.2,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
343,Coxim,BR,82.67,few clouds,-18.5067,-54.76,Hotel Avenida
346,Mango,US,81.86,broken clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
348,Indore,IN,71.78,overcast clouds,22.7179,75.8333,Hotel Apna Palace
350,Soyo,AO,75.25,overcast clouds,-6.1349,12.3689,Hotel Mpampa
351,Ramona,US,75.04,clear sky,33.0417,-116.8681,Ramona Terrace Estates
360,Las Choapas,MX,78.44,scattered clouds,17.9333,-94.0833,Hotel Jysmak
363,Los Llanos De Aridane,ES,71.35,few clouds,28.6585,-17.9182,Valle Aridane
364,Tanete,ID,84.88,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
370,Naica,MX,81.34,broken clouds,27.85,-105.4833,Departamentos Nicole
372,Naze,JP,81.52,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
373,Harper,LR,75.92,moderate rain,4.375,-7.7169,Screensaver
374,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
376,Mindelo,CV,80.15,scattered clouds,16.8901,-24.9804,Hotel Gaudi
382,Manokwari,ID,80.46,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
384,Chivolo,CO,76.33,broken clouds,10.025,-74.6228,Hotel Majest
395,Buchanan,LR,75.06,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
396,Mahon,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
399,Isabela,PH,84.25,broken clouds,6.7085,121.9711,Isawad Resort
407,Kekri,IN,76.37,clear sky,25.9667,75.15,Solanki house
409,San Cristobal,VE,77.18,clear sky,7.7669,-72.225,Posada Villaven C.A.
410,Jega,NG,76.68,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
415,Sinnamary,GF,79.41,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
416,Cagli,IT,74.08,overcast clouds,43.5457,12.6527,Hotel Pineta
421,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
423,Gondanglegi,ID,84.11,overcast clouds,-7.7479,112.0132,Ndoll Gondanglegi
424,Innisfail,AU,76.73,clear sky,-17.5333,146.0333,Moondarra Motel
425,Fare,PF,78.85,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
426,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
428,Tikrit,IQ,79.79,clear sky,34.6071,43.6782,عماره العبطه
430,Domoni,KM,76.01,broken clouds,-12.2569,44.5319,Al Djadid
432,Malindi,KE,75.88,light rain,-3.2175,40.1191,African House Resort
433,Khash,IR,70.65,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
435,Tamandare,BR,76.87,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
436,Abu Kamal,SY,76.68,clear sky,34.4506,40.9171,محطة التلفاز
438,Kirando,TZ,76.5,broken clouds,-7.4167,30.6,Lakeshore Lodge
