City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Ambon,ID,-3.6954,128.1814,82.54,89,40,3.44,scattered clouds
189,Fakse Ladeplads,DK,55.2198,12.1701,62.06,97,98,9.19,overcast clouds
190,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,3.44,light rain
191,Cordoba,AR,-31.4135,-64.1811,60.76,37,0,4.0,clear sky
192,Kitimat,CA,54.0524,-128.6534,57.58,72,94,1.01,light rain
193,Saskylakh,RU,71.9167,114.0833,42.69,91,100,10.76,light rain
194,Zhigansk,RU,66.7697,123.3711,45.3,63,98,5.82,overcast clouds
195,Sorland,NO,67.667,12.6934,50.47,68,100,12.44,overcast clouds
196,Sindou,BF,10.6667,-5.1667,70.57,98,100,3.0,moderate rain
197,Turbat,PK,26.0023,63.044,88.7,33,37,2.35,scattered clouds
198,Isangel,VU,-19.55,169.2667,80.71,100,75,0.0,broken clouds
199,Isiro,CD,2.7739,27.616,66.18,99,100,2.35,light rain
200,Luang Prabang,LA,19.8856,102.1347,76.96,94,75,4.61,mist
201,Marystown,CA,47.1666,-55.1483,50.07,79,90,11.74,overcast clouds
202,Meulaboh,ID,4.1363,96.1285,81.03,70,98,2.26,overcast clouds
203,Pierre,US,44.3683,-100.351,77.86,58,1,1.01,clear sky
204,Salym,RU,60.0625,71.4789,47.5,99,100,4.76,overcast clouds
205,Whyalla,AU,-33.0333,137.5833,75.09,22,0,12.66,clear sky
206,Hauterive,FR,46.0901,3.4459,64.18,96,95,1.97,overcast clouds
207,Gizo,SB,-8.103,156.8419,82.98,69,79,5.75,light rain
208,Yopal,CO,5.3378,-72.3959,70.57,95,90,3.18,light rain
209,Hemnesberget,NO,66.2333,13.6333,40.57,89,100,7.61,overcast clouds
210,Nikolayevka,RU,53.1257,47.2041,47.62,83,100,7.78,overcast clouds
211,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,80,0,1.01,clear sky
212,Wattegama,LK,6.7989,81.4808,77.92,72,100,6.53,overcast clouds
213,Guerrero Negro,MX,27.9769,-114.0611,70.7,81,0,20.27,clear sky
214,Penzance,GB,50.1186,-5.5371,60.01,87,92,9.35,overcast clouds
215,Milovice,CZ,50.226,14.8886,68.32,80,100,8.72,overcast clouds
216,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.4,100,90,5.75,mist
217,Ostersund,SE,63.1792,14.6357,45.05,93,90,14.97,overcast clouds
218,Nishihara,JP,26.1842,127.7558,85.66,74,20,12.66,few clouds
219,Hokitika,NZ,-42.7167,170.9667,59.34,42,1,5.75,clear sky
220,Port Alfred,ZA,-33.5906,26.891,57.34,78,52,9.82,light rain
221,Talnakh,RU,69.4865,88.3972,37.81,98,100,9.91,light rain
222,High Level,CA,58.5169,-117.136,48.31,81,90,16.11,overcast clouds
223,Severnyy,RU,50.677,36.5532,44.64,76,0,8.95,clear sky
224,Liverpool,GB,53.4106,-2.9779,60.62,84,63,3.44,broken clouds
225,Cabo San Lucas,MX,22.8909,-109.9124,87.1,76,1,1.01,clear sky
